point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
105,9.14913800905e-07,3.78946219377e-06,4.75408260795e-05,7.75262457548e-08,7.23681922521e-07,2.77317278261e-05,6.54121635481e-05,1.91287365549e-07,2.39423488516e-05,1.7861967747e-05,30.0,2.5
106,5.04520632705e-07,1.28547049056e-05,1.97272266836e-05,3.77945417256e-08,4.18801181978e-07,1.09000767001e-05,0.00012032361686,8.59947185732e-08,2.37550225549e-05,0.000100586821822,30.0,2.5
107,5.30093417641e-07,2.785417201e-05,1.2401601836e-05,5.84090406084e-08,4.32484700544e-07,4.02680069206e-05,8.74929871543e-05,9.76573748342e-08,1.24136266684e-05,9.98852956742e-05,30.0,2.5
108,3.78203708482e-07,1.71403637431e-05,1.16945665321e-06,4.57899017918e-08,3.19982760407e-07,4.82381613385e-05,0.000153559811371,5.85119359392e-08,3.10979370563e-05,0.000154719498799,30.0,2.5
109,8.7613851274e-08,1.1926579585e-18,5.22996286512e-05,5.43185400085e-17,1.04010583257e-07,4.48860063368e-17,0.000106023788436,1.62367455546e-08,1.2403276162e-16,5.37151473179e-05,30.0,2.5
110,2.14820771906e-05,2.34596030591e-14,4.62669827471e-05,4.74207390424e-13,2.73903325205e-06,2.07680909309e-12,1.33299794724e-05,1.87435813815e-05,3.48345631908e-13,5.95938334907e-05,30.0,2.5
111,2.84998802342e-05,1.82980983916e-05,1.53514129599e-06,8.98014705064e-06,3.71244575229e-05,2.7818446489e-05,3.02311803331e-05,8.6247103809e-06,9.5203819644e-06,3.17699742372e-05,30.0,2.5
112,7.25919942516e-06,1.7571402733e-05,3.16845050933e-05,1.38971507591e-05,2.66434310675e-05,1.09787738405e-05,2.37363650834e-05,1.93844107407e-05,6.59266482446e-06,5.54178609765e-05,30.0,2.5
113,3.2341963694e-05,1.43826011483e-05,9.18607978246e-07,9.13728046498e-06,4.09497855294e-05,6.70408183131e-07,2.01565259379e-05,8.60784686455e-06,1.50530495753e-05,1.923473332e-05,30.0,2.5
114,4.0158146401e-05,4.92621147533e-06,2.70518972384e-05,2.20493682024e-05,3.27751641431e-05,5.43729055482e-06,2.88475567877e-05,7.38285832025e-06,1.03634081242e-05,1.79974550783e-06,30.0,2.5
115,4.0158146401e-05,4.92621147531e-06,2.70518972384e-05,2.20493682024e-05,3.27751641431e-05,5.43729055542e-06,2.88475567906e-05,7.38285832023e-06,1.03634081243e-05,1.79974550785e-06,30.0,2.5
116,3.23419636939e-05,1.43826011482e-05,9.18607978233e-07,9.13728046491e-06,4.09497855294e-05,6.70408183091e-07,2.01565259337e-05,8.60784686456e-06,1.50530495749e-05,1.923473332e-05,30.0,2.5
117,7.25919942513e-06,1.7571402733e-05,3.16845050934e-05,1.38971507591e-05,2.66434310674e-05,1.09787738403e-05,2.37363650802e-05,1.93844107407e-05,6.59266482468e-06,5.54178609765e-05,30.0,2.5
118,2.84998802342e-05,1.82980983917e-05,1.535141296e-06,8.98014705059e-06,3.7124457523e-05,2.78184464893e-05,3.02311803373e-05,8.62471038095e-06,9.52038198297e-06,3.17699742371e-05,30.0,2.5
119,2.14820765459e-05,8.50066694189e-18,4.62669827587e-05,4.82857335437e-17,2.73903191245e-06,4.1631455945e-17,1.33299805894e-05,1.8743581518e-05,1.32731110045e-16,5.95938341854e-05,30.0,2.5
